编号 病种分类 病证名 中医症状 中医证型 状态要素 中药 经方
108 P脾胃系病证 腹胀 腹胀,口干,发热,汗出,身重 阳明热郁证 胃,胸膈,热,心神 栀子,香豉 栀子豉汤
109 P脾胃系病证 腹胀 腹胀,谵语,身体枯燥不荣,手足躁扰不宁 气血两燔证 少腹,热,毒,阴虚,津亏 知母,石膏,甘草,粳米 白虎汤
110 P脾胃系病证 腹胀 腹胀,腹痛 脾伤络瘀证 脾,经络,气滞,血瘀 桂枝,芍药,炙甘草,生姜,大枣 桂枝加芍药汤
111 P脾胃系病证 腹胀 腹胀,汗出,腹痛 脾气虚气滞证 脾,阳虚,气滞 厚朴,生姜,半夏,炙甘草,人参 厚朴生姜半夏甘草人参汤
112 P脾胃系病证 腹胀 腹胀,发热,呕吐 阳明热结缓证 胃,热,气滞 大黄,芒硝,炙甘草 调胃承气汤
113 P脾胃系病证 腹胀 腹胀,泄泻,身痛,手足冷 厥阴肝寒证 肾,脾,肠,阳虚,寒 炙甘草,干姜,附子 四逆汤
114 P脾胃系病证 腹胀 腹胀,咳嗽,发热,干呕 寒饮郁肺证 少腹,肺,表,寒,饮 麻黄,芍药,细辛,干姜,炙甘草,桂枝,五味子,半夏 小青龙汤
115 P脾胃系病证 腹胀 腹胀,发热,小便自利 下焦血结证 血瘀,热,少腹 水蛭,虻虫,桃仁,大黄 抵当丸
116 P脾胃系病证 呕吐 干呕,汗出,发热 太阳中风证 胃,外风,热,表 桂枝,芍药,炙甘草,生姜,大枣 桂枝汤
117 P脾胃系病证 呕吐 干呕,发热,咳嗽 寒饮郁肺证 胃,肺,表,热,饮 麻黄,芍药,细辛,干姜,炙甘草,桂枝,五味子,半夏 小青龙汤
118 P脾胃系病证 呕吐 干呕,心下痞,胁下痛 悬饮证 外风,寒,表,饮,胸膈,胃 芫花,甘遂,大戟,大枣 十枣汤
119 P脾胃系病证 呕吐 干呕,腹胀,心烦,泄泻,肠鸣 湿热痞重证 胃,气虚,气逆,湿,热 炙甘草,黄芩,半夏,大枣,黄连,干姜,人参 甘草泻心汤
120 P脾胃系病证 呕吐 干呕,泄泻,面红,手足冷,脉微 阳虚戴阳证 胃,肠,肾,阳虚,阳浮 炙甘草,干姜,附子 通脉四逆汤
121 P脾胃系病证 呕吐 干呕,手足冷,昏昏沉沉 少阴虚寒证 脾,胃,肾,阳虚,气逆 炙甘草,干姜,附子 四逆汤
122 P脾胃系病证 呕吐 干呕,头痛,吐涎沫 肝寒气逆证 肝,寒,胃,气逆 吴茱萸,人参,生姜,大枣 吴茱萸汤
123 P脾胃系病证 呕吐 干呕,口苦,咽干,胸胁满 少阳胆热证 半表半里,胆,胃,热,气滞 柴胡,黄芩,人参,半夏,炙甘草,生姜,大枣 小柴胡汤
124 P脾胃系病证 呕吐 呕吐,腹痛,身热 胃热牌寒证 胃,热,脾,肠,寒 黄连,炙甘草,干姜,桂枝,人参,半夏,大枣 黄连汤
125 P脾胃系病证 呕吐 呕吐,泄泻 霍乱证 气逆,胃,肠 猪苓,泽泻,白术,茯苓,桂枝 五苓散
126 P脾胃系病证 呕吐 食后呕吐,舌淡,苔白,脉弱 阳明胃虚寒证 胃,胸膈,热,阳虚,气逆 吴茱萸,人参,生姜,大枣 吴茱萸汤
127 P脾胃系病证 呕吐 食后呕吐,呃逆,口渴 脾胃虚寒证 脾,胃,阳虚,湿 人参,干姜,炙甘草,白术 理中丸
128 P脾胃系病证 呕吐 食后呕吐,有气上冲心胸,腹痛,身热,饥不欲食 厥阴肝热证 热,肝,胃,胸膈 乌梅,黄连,细辛,干姜,当归,黄柏,桂枝,人参,炮附子,蜀椒 乌梅丸
129 P脾胃系病证 呕吐 食后呕吐,心烦,手足冷,脉微 蛔厥证 胃,气虚,阳虚,虫积,胸膈 乌梅,黄连,细辛,干姜,当归,黄柏,桂枝,人参,炮附子,蜀椒 乌梅丸
130 P脾胃系病证 呕吐 食后呕吐,身热,苔黄 脾寒胃热证 脾,阳虚,气虚,气陷,胃,热,气逆 干姜,黄连,黄芩,人参 干姜黄连黄芩人参汤
131 P脾胃系病证 呕吐 食后呕吐,有气上冲心胸 胸中痰实证 痰,食积,胸膈,脾,胃 瓜蒂,赤小豆 瓜蒂散
132 P脾胃系病证 呕吐 呕吐,手足冷,泄泻,汗出,脉紧 少阴寒证 胃,心,肾,肠,阳浮 炙甘草,干姜,附子 四逆汤
133 P脾胃系病证 呕吐 呕吐,泄泻,手足热 阳气暴脱证 胃,心,肾,肠,亡阳 炙甘草,干姜,附子,人参 四逆加人参汤
134 P脾胃系病证 呕吐 呕吐,泄泻,心烦,手足冷 阳气欲脱证 胃,心,肾,肠,阳虚 炙甘草,干姜,附子 通脉四逆汤
135 P脾胃系病证 呕吐 呕吐,泄泻,手足冷,心烦,昏昏沉沉 肝寒吐利证 寒,胃,肠,心神,阳郁 吴茱萸,人参,生姜,大枣 吴茱萸汤
136 P脾胃系病证 呕吐 呕吐,泄泻,发热,身痛,恶寒 霍乱证 气逆,胃,肠,热,寒 人参,干姜,炙甘草,白术 理中丸
137 P脾胃系病证 泄泻 泄泻,口苦,咽干,目眩 胆热泄泻证 胆,热,肠,胃 黄芩,芍药,炙甘草,大枣 黄芩汤
138 P脾胃系病证 泄泻 泄泻,便血,口渴,脉浮涩 肝热泄泻证 湿,热,肠,肝 白头翁,黄柏,黄连,秦皮 白头翁汤
139 P脾胃系病证 泄泻 泄泻,谵语,大便干 阳明热结旁流轻证 肠,津亏,燥屎,热 大黄,厚朴,枳实 小承气汤
140 P脾胃系病证 泄泻 泄泻,腹痛,手足冷 肝气郁滞证 肠,肝,气滞,寒 柴胡,枳实,芍药,炙甘草 四逆散
141 P脾胃系病证 泄泻 泄泻,腹痛,小便不利,大便脓血 阳虚滑脱证 肠,脾,膀胱,阳虚,气虚,动血 赤石脂,干姜,粳米 桃花汤
142 P脾胃系病证 泄泻 泄泻,汗出,手足冷 阳虚格阳证 肠,脾,肾,亡阳,阳浮 炙甘草,干姜,附子 通脉四逆汤
143 P脾胃系病证 泄泻 泄泻,面红,脉微 阳虚戴阳证 肠,脾,肾,阳虚,阳浮 葱白,干姜,附子 白通汤
144 P脾胃系病证 泄泻 泄泻,心烦,咽痛,胸满,手足热 阴虚内热证 肠,肾,阴虚 猪肤 猪肤汤
145 P脾胃系病证 泄泻 泄泻,咳嗽,干呕,口渴,心烦,小便不利 阴虚水气热证 肠,肾,阴虚,膀胱,湿,热 猪苓,茯苓,泽泻,阿胶,滑石 猪苓汤
146 P脾胃系病证 泄泻 泄泻,身痛,手足冷,脉微 肾阳虚证 肠,肾,阳虚 炙甘草,干姜,附子 四逆汤
147 P脾胃系病证 泄泻 泄泻,面红,手足冷,脉微 少阴阳虚格阳证 肠,肾,阳虚,阳浮 炙甘草,干姜,附子 通脉四逆汤
148 P脾胃系病证 泄泻 泄泻,汗出,呕吐,脉微 阳虚阴盛霍乱证 肠,阳虚 炙甘草,干姜,附子 四逆汤
149 P脾胃系病证 泄泻 泄泻,身热,面红,脉沉 少阴阳虚戴阳证 肠,肾,阳虚,阳浮 炙甘草,干姜,附子 四逆汤
150 P脾胃系病证 泄泻 泄泻,气喘,汗出,脉促 外感表证兼热邪入里证 热,表,肠 葛根,炙甘草,黄芩,黄连 葛根黄芩黄连汤
151 P脾胃系病证 心下疾(胃脘疾) 胃脘痞硬,舌红,苔黄,脉浮 脾胃热痞证 脾,胃,热,气滞 大黄,黄连 大黄黄连泻心汤
152 P脾胃系病证 心下疾(胃脘疾) 胃脘痞硬,汗出,怕冷,苔黄 阳虚热痞证 热,胃,表,阳虚 大黄,黄连,黄芩,炮附子 附子泻心汤
153 P脾胃系病证 心下疾(胃脘疾) 胃脘痞硬,口渴,心烦 脾胃水气痞证 饮,膀胱,脾,胃 猪苓,泽泻,白术,茯苓,桂枝 五苓散
154 P脾胃系病证 心下疾(胃脘疾) 胃脘痞硬,干呕,心烦,肠鸣,泄泻,腹痛 中虚湿热水气证 胃,肠,湿,热,气虚,气逆 炙甘草,黄芩,半夏,大枣,黄连,干姜,人参 甘草泻心汤
155 P脾胃系病证 心下疾(胃脘疾) 胃脘痞硬,口苦,咽干,目眩 胆热气郁证 半表半里,胆,胃,热,气滞 柴胡,黄芩,人参,半夏,炙甘草,生姜,大枣 小柴胡汤
156 P脾胃系病证 心下疾(胃脘疾) 胃脘痞硬,胁下痛,有气上冲心胸,汗出,心烦 阳虚水气证 脾,胃,阳虚,气虚,饮 人参,干姜,炙甘草,白术 理中丸
157 P脾胃系病证 心下疾(胃脘疾) 胃脘痞硬,嗳气 中虚痰饮证 胃,气虚,痰,饮,气逆 旋覆花,代赭石,人参,生姜,炙甘草,半夏,大枣 旋覆代赭汤
158 P脾胃系病证 心下疾(胃脘疾) 胃脘痞硬,泄泻,脉浮 脾胃虚寒证 脾,胃,阳虚,气虚,外风,寒,表 桂枝,炙甘草,白术,人参,干姜 桂枝人参汤
159 P脾胃系病证 心下疾(胃脘疾) 胃胀,有气上冲心胸,头晕,目眩,脉沉紧,身体颤动 脾胃气虚水停证 脾,胃,阳虚,饮,气逆 茯苓,桂枝,白术,甘草 茯苓桂枝白术甘草汤
160 P脾胃系病证 心下疾(胃脘疾) 胃胀,大便干,口苦,咽干,脉细 胆热气郁证 半表半里,胆,热,气滞 柴胡,黄芩,人参,半夏,炙甘草,生姜,大枣 小柴胡汤
161 P脾胃系病证 心下疾(胃脘疾) 胃胀,手足冷,心烦,饥不欲食 胸中痰实证 痰,饮,食积,胸膈,胃 瓜蒂,赤小豆 瓜蒂散
